Instance,k,BKS
C101,10,3865.78
C102,10,3859.01
C103,10,3855.09
C104,10,3772.94
C105,10,3865.78
C106,10,3865.78
C107,10,3865.78
C108,10,3863.35
C109,10,3857.22
C201,4,7643.65
C202,4,7640.45
C203,4,7404.43
C204,4,7257.49
C205,4,7657.47
C206,4,7620.29
C207,4,7527.96
C208,4,7521.26
R101,19,4202.69
R102,17,4009.32
R103,13,4137.95
R104,9,4247.65
R105,14,4361.74
R106,12,4463.04
R107,10,3830.87
R108,9,4031.05
R109,11,3859.59
R110,10,4177.40
R111,10,4478.57
R112,9,3991.25
R201,4,15507.40
R202,3,18849.10
R203,3,10310.90
R204,2,20267.50
R205,3,16578.10
R206,3,14607.30
R207,2,12650.80
R208,2,16613.00
R209,3,14762.50
R210,3,15637.70
R211,2,12425.20
RC101,14,5212.08
RC102,12,5297.68
RC103,13,5318.24
RC104,10,4830.75
RC105,13,4867.66
RC106,11,5402.45
RC107,12,5031.48
RC108,10,5173.73
RC201,4,17286.20
RC202,3,13197.70
RC203,3,15918.00
RC204,3,11823.60
RC205,4,15071.40
RC206,3,19064.00
RC207,3,15930.80
RC208,3,12952.20
