Instance,local_optimum_solution_cost,vehicle_number_obtained,vehicle_number_original,time
C101,44214.464219889196,14,25,10.651833772659302
C102,48184.563264470075,13,25,45.960590839385986
C103,48900.89392209819,12,25,338.8163740634918
C104,47769.63606888805,11,25,150.4437551498413
C105,43493.427574422036,14,25,16.06741499900818
C106,43983.66098426922,14,25,27.05347204208374
C107,43456.54234302871,13,25,29.195224046707153
C108,42939.145489962415,13,25,56.86000204086304
C109,44026.09757473397,13,25,84.90065097808838
C201,151110.44359940532,4,25,33.09651207923889
C202,148993.62160227064,4,25,139.28006601333618
C203,144494.2406872605,4,25,346.73089480400085
C204,123479.15639575195,5,25,448.2921690940857
C205,145878.8849891486,4,25,235.73313212394714
C206,144330.55829887814,4,25,366.7138922214508
C207,140086.9778811382,4,25,387.45424699783325
C208,140660.58251052056,4,25,415.4298839569092
R101,9786.641936544795,23,25,10.701171159744263
R102,10438.598300046116,22,25,26.926054000854492
R103,10175.172741295388,16,25,47.52461099624634
R104,9425.111346784612,18,25,69.11062908172607
R105,9546.75992717875,20,25,22.14587378501892
R106,9406.058174870434,19,25,43.840734004974365
R107,10205.698359219745,17,25,49.45646095275879
R108,9076.43410716253,16,25,73.54269886016846
R109,9558.886501789524,19,25,37.26481103897095
R110,9364.891468231832,17,25,43.8700110912323
R111,9638.740058403731,16,25,53.95751190185547
R112,8812.551861426162,18,25,66.0584409236908
R201,41479.30888846011,5,25,243.4287428855896
R202,43466.28501609985,5,25,406.15390372276306
R203,37495.941662095625,5,25,447.30501198768616
R204,33426.32037548112,4,25,485.0891308784485
R205,37547.2334748804,5,25,399.81204295158386
R206,37856.77551298552,4,25,463.30004596710205
R207,34083.4870001455,4,25,461.25510597229004
R208,28872.016358051664,4,25,458.30528259277344
R209,35549.29393873855,5,25,392.53716015815735
R210,38148.466820842936,5,25,424.58528900146484
R211,32283.17513700299,4,25,418.79878520965576
RC101,10042.153507555027,19,25,21.826181888580322
RC102,10356.730812592585,18,25,31.35648202896118
RC103,10186.09906713457,17,25,45.03815197944641
RC104,9524.760032100185,17,25,57.15496325492859
RC105,10265.930308126057,19,25,30.81919002532959
RC106,9842.942334623605,18,25,39.744256019592285
RC107,10028.932323226547,20,25,50.457472801208496
RC108,9751.758993733974,21,25,56.478641748428345
RC201,39844.18041198815,6,25,180.05258917808533
RC202,38974.02888291933,5,25,349.2217741012573
RC203,37768.30973871363,5,25,370.38153290748596
RC204,29827.507150932943,6,25,399.6442861557007
RC205,38579.233131182846,7,25,257.4941840171814
RC206,36457.43735814281,6,25,348.03972697257996
RC207,34432.5441706899,6,25,324.39710521698
RC208,30848.284602789296,6,25,323.35585618019104
