instance,average_cost,minimum_cost,average_vehicle_number_obtained,minimum_vehicle_number_obtained,vehicle_number_original,time
C101,44502.380051521664,44214.464219889196,13.7,13,25,1.9356952905654907
C102,50891.35309259647,48844.95302846605,12.7,12,25,2.229249882698059
C103,56705.27064282944,54752.424853068536,11.6,11,25,2.3268157958984377
C104,56532.76861506239,54937.03587626878,11.1,11,25,1.8383152961730957
C105,44293.57414852382,43523.5854096108,13.5,13,25,1.7741172075271607
C106,45105.66284726908,44290.04665193483,13.6,13,25,2.0308805227279665
C107,44532.667050243515,43874.11203929821,13.2,13,25,1.8817245960235596
C108,45902.58574981142,44907.8570274422,13.4,13,25,1.8824109077453612
C109,47482.6713880461,46163.69442326078,12.9,12,25,1.8505640745162963
C201,152511.89183727786,151211.42772660227,4.1,4,25,2.148061013221741
C202,163516.46226856712,150964.89566722309,4.2,4,25,2.4201709032058716
C203,163733.137595587,156983.98706202145,4.1,4,25,1.952925181388855
C204,168734.09483245242,160379.76674303543,4.3,4,25,1.866163396835327
C205,153698.40942819876,152012.47765781105,4.1,4,25,1.7397420883178711
C206,154166.71673300487,152109.28141628474,4.1,4,25,1.743713092803955
C207,155106.56881977845,149078.2227971535,4.1,4,25,1.8494094133377075
C208,155661.9946940423,153409.70833163272,4.0,4,25,1.418801212310791
R101,9831.86473850284,9786.641936544795,23.4,22,25,2.1173055171966553
R102,11217.77442230927,10854.83021955336,21.0,20,25,2.1458990812301635
R103,11140.41316018305,10450.357126223254,17.2,16,25,2.55915048122406
R104,11196.24696292046,10769.755042429433,16.1,14,25,2.221523094177246
R105,9794.20633430155,9593.245404800262,19.5,18,25,1.9935582160949707
R106,10918.854105741906,10818.367099170531,17.6,16,25,1.9229103088378907
R107,11150.641373492634,10826.29133691457,16.0,15,25,2.1021721839904783
R108,11208.73385947897,11021.154490083058,17.1,16,25,1.8883846044540404
R109,10110.416252632194,9874.95116528095,18.3,17,25,1.9005295991897584
R110,10589.68510968131,10344.609296343515,17.9,16,25,1.892340612411499
R111,11136.405788061329,10671.020388210458,16.5,15,25,1.9957821846008301
R112,11038.206233910616,10493.117155865428,18.2,17,25,1.7635129690170288
R201,44002.11365559992,43109.01601382873,5.1,5,25,2.780068874359131
R202,51329.54089384697,48050.70708703676,4.7,4,25,2.6343230962753297
R203,51976.41075431384,49369.23236996905,4.4,4,25,3.045895791053772
R204,50552.622893854015,45354.092456096965,4.0,4,25,2.7619801998138427
R205,44676.81169337304,44030.66408326609,4.8,4,25,2.3820882081985473
R206,50328.58144994515,46232.881381838124,4.1,4,25,2.6731982231140137
R207,50836.725272728756,46002.60269004572,4.1,4,25,2.549251103401184
R208,50771.71115929435,49198.2497947102,4.1,4,25,2.6007156133651734
R209,47149.30290595777,45628.2324363017,4.9,4,25,2.0877444744110107
R210,50941.28591708197,48621.33576200764,4.6,4,25,2.1900646924972533
R211,47282.89363317677,44372.2768710911,4.5,4,25,2.3645548820495605
RC101,10212.150232118309,10081.470572869497,20.4,19,25,1.8856658935546875
RC102,11367.05181228448,10928.489082165122,19.5,18,25,1.9116914749145508
RC103,11444.03836190508,11149.04448951563,18.1,17,25,2.131271505355835
RC104,11582.992951003655,11097.348333506947,18.0,17,25,2.071734809875488
RC105,10993.482756112293,10781.95423631267,19.1,17,25,2.0301422834396363
RC106,10636.380208349543,10445.421307266708,19.0,18,25,1.8533473014831543
RC107,11237.481674187688,10725.067135929754,18.8,16,25,1.8177582263946532
RC108,11597.225119804294,11162.820709540249,19.3,17,25,1.8830501317977906
RC201,42059.15961451821,41702.84749092135,6.0,5,25,2.4228289127349854
RC202,46129.46635690071,43476.23453713712,5.1,4,25,2.003927707672119
RC203,47445.75283386418,44534.075853169496,4.8,4,25,2.4910062074661257
RC204,47678.38309092163,44352.426160375835,4.9,4,25,2.491372895240784
RC205,43896.51319948323,42077.64188829092,6.2,6,25,2.288435673713684
RC206,43243.66609780892,42602.21512342939,5.4,5,25,2.245644283294678
RC207,45362.36652238273,43922.52700960976,6.0,5,25,2.2116724014282227
RC208,46304.091406524065,44920.82688827899,5.8,5,25,2.049620199203491
