Instance,local_optimum_solution_cost,vehicle_number_obtained,vehicle_number_original,time
C101,44754.16576621679,12,25,0.738433837890625
C102,48604.46498127887,11,25,3.340510845184326
C103,55600.43484890947,11,25,12.653141021728516
C104,48810.17300196377,11,25,25.85904097557068
C105,44449.87086057915,12,25,0.7406001091003418
C106,44715.9126656039,12,25,5.983469247817993
C107,44414.81493079082,12,25,1.4693400859832764
C108,44904.73113873619,12,25,5.2559568881988525
C109,45936.41031764403,11,25,10.452808856964111
C201,152231.78445477484,4,25,2.5915889739990234
C202,153599.9572647039,4,25,14.442686319351196
C203,161347.6367350592,4,25,24.638469696044922
C204,159845.8946062312,4,25,74.18616223335266
C205,148676.21289986087,4,25,54.85818076133728
C206,146988.83798315533,4,25,61.27539300918579
C207,142703.35584033764,4,25,64.63184094429016
C208,144080.99578851563,4,25,43.225095987319946
R101,9828.55009703522,22,25,0.4253849983215332
R102,10308.428071425953,18,25,5.340131759643555
R103,9866.053554719576,16,25,14.681678771972656
R104,9241.365197135094,12,25,15.832694053649902
R105,9667.909553734451,18,25,3.713379144668579
R106,9631.851798237225,15,25,18.435986757278442
R107,9346.60926257043,14,25,21.886484146118164
R108,9680.031082719946,12,25,16.212109088897705
R109,9581.754616102186,15,25,9.638475179672241
R110,9243.81469999764,14,25,21.316858053207397
R111,9952.040586203677,14,25,17.997545957565308
R112,9808.441992839702,12,25,10.230461120605469
R201,41330.59201511299,5,25,93.54203510284424
R202,46515.420822869026,4,25,144.32855033874512
R203,34869.40962982388,4,25,247.98077607154846
R204,28194.08832220963,4,25,149.68194890022278
R205,39386.638484474985,4,25,114.83551692962646
R206,47613.55470769484,3,25,131.87255096435547
R207,42859.4756958148,3,25,202.497004032135
R208,35546.04495009039,3,25,170.3379099369049
R209,39420.14966316683,4,25,133.9117271900177
R210,40888.450797383965,4,25,200.87479901313782
R211,40634.9393494644,3,25,88.16328597068787
RC101,10031.059504302913,19,25,4.284171104431152
RC102,10496.591671746977,17,25,10.100489854812622
RC103,10390.803786783703,15,25,21.915590047836304
RC104,9534.04546849658,12,25,10.38248896598816
RC105,10607.567354451443,18,25,4.4284868240356445
RC106,9701.928790052452,15,25,9.049586057662964
RC107,9877.11823515767,14,25,18.72460103034973
RC108,10617.922118296312,13,25,9.927222967147827
RC201,40088.619543590816,5,25,60.45507884025574
RC202,40272.599815365254,4,25,105.41014981269836
RC203,43230.83181633296,4,25,163.63023495674133
RC204,45938.661699468066,3,25,139.09709000587463
RC205,37843.48997615051,6,25,125.79072117805481
RC206,38947.557040191205,4,25,91.79069805145264
RC207,39011.48986426655,4,25,147.81883716583252
RC208,34058.679782600746,4,25,102.83097696304321
